,,Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH)
,,25%,mediana,75%,electores
area_0,area_1,,,,
Resto 1a Seccion,general la madrid,6790,10500,14600,9500
Resto 1a Seccion,general las heras,7080,11540,17230,12900
Resto 1a Seccion,navarro,6580,10110,16130,14500
Resto 1a Seccion,suipacha,6510,10560,17020,9200
Resto 2a Seccion,capitan sarmiento,6510,11320,17180,12500
Resto 2a Seccion,carmen de areco,6590,10830,16600,12300
Resto 2a Seccion,rojas,6650,10830,16750,20300
Resto 2a Seccion,san andres de giles,6330,10360,16080,19300
Resto 2a Seccion,san antonio de areco,6850,11090,16620,19800
Resto 3a Seccion,ayacucho,6170,10880,16740,17400
Resto 3a Seccion,magdalena,6690,10800,16320,14900
Resto 3a Seccion,punta indio,7500,11730,17460,9500
Resto 4a Seccion,alberti,6600,11550,16860,9000
Resto 4a Seccion,carlos casares,6790,11390,16730,18500
Resto 4a Seccion,carlos tejedor,5800,10660,15570,9800
Resto 4a Seccion,florentino ameghino,6760,10090,16720,8000
Resto 4a Seccion,general arenales,6680,10800,15810,14600
Resto 4a Seccion,general pinto,6230,9730,15840,9700
Resto 4a Seccion,general viamonte,6640,11160,17250,15700
Resto 4a Seccion,hipolito yrigoyen,6320,10780,16860,8000
Resto 4a Seccion,leandro n. alem,6350,10550,16060,14400
Resto 4a Seccion,rivadavia,5820,10480,16350,14000
Resto 5a Seccion,castelli,6540,11210,16940,7600
Resto 5a Seccion,general belgrano,6690,11050,16250,15900
Resto 5a Seccion,general guido,4470,9090,14110,2400
Resto 5a Seccion,general juan madariaga,7120,11550,17150,17700
Resto 5a Seccion,general lavalle,5610,9660,16080,3800
Resto 5a Seccion,general paz,6350,10520,16470,10500
Resto 5a Seccion,loberia,6070,11090,16740,14300
Resto 5a Seccion,maipu,6030,10670,16020,9900
Resto 5a Seccion,monte,6430,10480,16840,18600
Resto 5a Seccion,pila,6660,11440,17450,3100
Resto 5a Seccion,rauch,6510,11310,17450,13600
Resto 5a Seccion,san cayetano,6380,11270,16980,7200
Resto 5a Seccion,tordillo,6270,11980,15560,1500
Resto 6a Seccion,adolfo alsina,6930,11630,17160,14300
Resto 6a Seccion,adolfo gonzales chaves,6570,10710,16380,10500
Resto 6a Seccion,benito juarez,6330,10940,16620,16900
Resto 6a Seccion,coronel de marina l. rosales,6520,12500,18730,19900
Resto 6a Seccion,coronel dorrego,6600,11240,17520,13800
Resto 6a Seccion,coronel pringles,6210,11310,17440,19600
Resto 6a Seccion,daireaux,6540,10680,16720,14500
Resto 6a Seccion,guamini,7010,11510,17450,9800
Resto 6a Seccion,laprida,6290,10970,16590,9400
Resto 6a Seccion,monte hermoso,6960,12000,18000,7800
Resto 6a Seccion,pellegrini,6880,12000,16710,5100
Resto 6a Seccion,puan,7200,11560,16620,14400
Resto 6a Seccion,saavedra,7060,12230,17930,18300
Resto 6a Seccion,salliquelo,6580,11270,17210,7800
Resto 6a Seccion,tornquist,7120,11720,17650,12400
Resto 6a Seccion,tres lomas,6270,11180,15410,6600
Resto 7a Seccion,general alvear,6380,11510,16500,8500
Resto 7a Seccion,roque perez,6390,10880,16140,10300
Resto 7a Seccion,tapalque,5670,9920,16060,8400
almirante brown,00017,8690,14720,23530,25300
almirante brown,00018,7190,11610,17140,31300
almirante brown,00019,6940,10990,16110,96600
almirante brown,00020,7280,12010,17770,33800
almirante brown,00021,6380,10490,15810,54800
almirante brown,00022,6130,10540,15680,40800
almirante brown,0018A,6080,9340,13740,52000
almirante brown,0020A,6410,9720,14540,26500
almirante brown,0021A,6030,9390,13500,13200
almirante brown,0022A,6540,10390,15230,53000
almirante brown,0022B,7450,11090,15520,15600
avellaneda,00023,8580,14220,19720,17000
avellaneda,00024,7490,12840,18160,10400
avellaneda,00025,6210,10860,17100,11300
avellaneda,00026,5250,8760,12590,5200
avellaneda,00027,6490,10520,16010,23800
avellaneda,00030,8610,13240,18450,6100
avellaneda,00031,7190,11870,16660,2500
avellaneda,00032,6730,11270,16390,4200
avellaneda,00033,8850,13480,18690,11900
avellaneda,00034,8030,12400,17820,22200
avellaneda,00037,7450,12240,17700,21400
avellaneda,00038,7400,11800,17230,37900
avellaneda,00039,7090,11160,16480,55800
avellaneda,00040,7670,12620,18040,70600
azul,00060,6580,11580,17540,49900
azul,00061,7250,11210,13140,100
azul,00062,7060,10500,16060,3000
azul,00063,9580,12840,16100,0
azul,00064,17890,17890,17890,0
azul,00065,11130,13120,15550,0
azul,00066,8780,10960,19980,100
azul,00067,6570,11050,16180,3200
azul,00068,4280,8460,14770,0
azul,00069,14560,15730,16900,0
azul,0062A,2820,8950,14080,100
azul,0062B,8110,8300,13620,100
bahia blanca,00072,8250,14460,19920,10600
bahia blanca,00073,7120,12510,19110,29600
bahia blanca,00074,5750,11180,17120,19900
bahia blanca,00075,5900,11430,18220,8700
bahia blanca,00076,6290,11390,17300,36800
bahia blanca,00077,6440,11390,17940,3800
bahia blanca,00078,7600,13490,20290,5000
bahia blanca,00079,7330,11760,17620,5700
bahia blanca,00080,6890,11190,15760,2200
bahia blanca,00083,8770,15170,24330,12200
bahia blanca,00084,8710,14320,20840,11200
bahia blanca,00085,7250,13110,19720,26500
bahia blanca,00086,6610,12500,18230,23500
bahia blanca,00087,6690,11230,17090,16900
bahia blanca,00088,6350,10750,15600,5800
bahia blanca,00089,7600,14080,22700,8500
bahia blanca,00090,2330,2710,12850,0
bahia blanca,00091,5950,9620,13910,11000
bahia blanca,00092,6490,10990,16670,9800
bahia blanca,00093,6550,10810,16810,4400
balcarce,00098,6060,10780,17240,36900
balcarce,00099,820,8660,11400,600
balcarce,00100,8230,11290,19610,300
balcarce,00101,7840,9540,13170,500
balcarce,00102,13660,17430,24900,200
balcarce,00103,7490,14020,18200,200
balcarce,00104,8670,13130,23170,200
balcarce,0103A,5100,9960,16910,300
baradero,00105,5900,10680,16950,23600
baradero,00106,6630,11770,16670,400
baradero,00107,4160,8380,14730,2400
baradero,00108,190,12680,13750,100
baradero,00109,11550,13100,13810,0
baradero,00110,5840,8720,11750,500
baradero,00111,6030,8860,12660,200
