,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,,,,,,,,,,,,,,,,,,,,,,,
Resto 1a Seccion,119.87686163574341,127.4765231333028,122.90633829095367,100.0,100.0,100.0,36.78897301494855,38.67098030233623,45.5994455994456,37.10791247191946,29.761223087494276,30.377418838957297,14.130404637102364,14.45258818140174,11.735700197238659,9.759547383309759,6.052450755840586,4.795031718108641,5.751832340815391,5.498693960232422,1.3942968392120936,2.2682445759368837,1.467121502066173
Resto 2a Seccion,123.54323945572081,131.46841884884208,124.67167949418698,100.0,100.0,100.0,38.04831005228817,43.24250330144619,50.54289217496639,29.053840242303693,23.475698135085516,25.26553705700737,17.77797869294637,15.391181112506844,11.199090009306722,13.52862287720567,7.4306696299159345,7.327197790022602,4.18720005153477,3.4405329945489194,1.8117692530679292,2.441906844134549,2.0704308123502555
Resto 3a Seccion,122.7130153597413,137.85006319430585,127.0984597624328,100.0,100.0,100.0,39.06548100242522,42.44661744162841,49.75848345839536,28.33306386418755,25.98616377303266,24.76531883221436,14.506063055780114,13.413822922902947,10.374578485281162,13.953112368633791,6.858245193906738,5.939180362730504,5.4546664005853795,4.6662818604368566,2.7772234417614583,3.982744478536926,2.418755052546483
Resto 4a Seccion,124.15609694174398,132.34843845682792,125.92730584533862,100.0,100.0,100.0,42.703451777723714,42.26992389117313,49.39352541811558,33.44299753520009,20.867596885661797,21.58573439311144,13.48975468364875,15.485303123086345,11.739319423745654,11.033417609038306,6.888067535648674,5.3630567974830265,10.692415361735632,10.747847325716178,1.4970256320531887,2.0150273224043715,1.6967978758290931
Resto 5a Seccion,123.70735827290706,136.6793708142404,128.30058530548482,100.0,100.0,100.0,40.92987804878049,44.53207613676419,51.28777350605086,32.22746374423204,24.469069439548818,24.97337215082014,15.133693144363876,14.209552344025377,10.80431320437001,10.778881015161502,6.641038068382094,5.635974477840557,7.521149101163201,6.028545054320812,1.691928093056045,2.4396181820026173,1.8941578773895846
Resto 6a Seccion,126.62074600274616,140.07168241047293,131.60156671915593,100.0,100.0,100.0,42.533163873222655,46.60571636849619,52.767055693568835,28.98335281368088,22.667436138869483,23.134120482749605,12.689082305414024,12.955076997843454,9.81245985140044,12.386664094504273,8.742824165477023,6.946773615903677,5.6580506029219695,5.175403191422838,2.1219208456094525,2.8031539034387096,2.0789124292182515
Resto 7a Seccion,123.05370574426293,132.67522687777563,127.38515070296702,100.0,100.0,100.0,38.49470607962439,42.56613245800347,48.488268208962246,33.090595506156276,25.057926240586987,27.74721399351107,13.155751449240647,16.788955396794748,13.725490196078432,13.716284194892925,6.704962347943619,5.492076926693938,6.067773701486773,4.081440729769126,0.7675226877775632,1.6222316264635348,1.2025104201600154
almirante brown,130.954298055077,139.7086967842729,131.49391791033702,100.0,100.0,100.0,25.78396125134197,26.685001952870717,32.01443439088592,40.97664344743215,40.31311027209999,42.968427737533865,20.179200059920603,15.420192683244368,10.259278933327003,7.496005292986793,4.440828017185263,2.7485881658174396,6.273597187866163,5.7265715650808815,4.420648353079026,6.030156718787558,5.1843806955783585
