,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,area_1,,,,,,,,,,,,,,,,,,,,,,,
florencio varela,0302D,16418.0,16718.0,17419.0,13365.0,13135.0,14216.0,2293.0,2840.0,3824.0,6062.0,6338.0,6908.0,3103.0,1688.0,1306.0,1287.0,709.0,630.0,666.0,770.0,416.0,668.0,505.0
florencio varela,0302E,38623.0,41809.0,46766.0,29197.0,28818.0,34236.0,4859.0,5886.0,8820.0,13685.0,14046.0,16504.0,6721.0,3937.0,3360.0,3367.0,2014.0,2128.0,1542.0,1947.0,925.0,1609.0,1041.0
florencio varela,0302F,4370.0,5140.0,5490.0,3770.0,3728.0,4329.0,487.0,586.0,946.0,1864.0,1922.0,2123.0,722.0,571.0,444.0,500.0,260.0,314.0,197.0,227.0,108.0,192.0,95.0
florencio varela,0303A,8007.0,7650.0,8703.0,6148.0,5818.0,6773.0,975.0,995.0,1547.0,3283.0,2910.0,3488.0,1388.0,790.0,731.0,781.0,382.0,387.0,278.0,362.0,134.0,237.0,206.0
florencio varela,0303B,22655.0,22069.0,24872.0,17969.0,15716.0,18480.0,2632.0,3166.0,4706.0,8203.0,7614.0,9235.0,3900.0,2044.0,1831.0,2282.0,1263.0,1356.0,909.0,1243.0,463.0,804.0,575.0
general pueyrredon,0366A,63487.0,58811.0,60908.0,43200.0,39152.0,44456.0,18851.0,19349.0,23451.0,11323.0,8756.0,10346.0,7485.0,5425.0,4248.0,2862.0,1834.0,1123.0,1804.0,1829.0,1657.0,2940.0,2082.0
general san martin,0377A,58675.0,58934.0,59951.0,42026.0,38868.0,41361.0,11718.0,11282.0,14635.0,15239.0,12414.0,15625.0,9057.0,6787.0,4709.0,3124.0,1629.0,1120.0,3042.0,2730.0,1459.0,2232.0,1884.0
hurlingham,0668A,37006.0,38426.0,39819.0,28924.0,28605.0,31826.0,6363.0,7762.0,10015.0,12870.0,12175.0,14427.0,7443.0,4366.0,3253.0,2392.0,1483.0,895.0,1834.0,1735.0,1183.0,1768.0,1274.0
hurlingham,0668B,51301.0,50326.0,53128.0,41545.0,38943.0,42030.0,10837.0,12442.0,15510.0,15134.0,13624.0,16401.0,10719.0,6235.0,4854.0,2602.0,1580.0,941.0,2264.0,2178.0,1727.0,2611.0,1922.0
ituzaingo,0666A,27965.0,29496.0,29848.0,23360.0,22160.0,24034.0,6712.0,7360.0,9167.0,8205.0,7957.0,8839.0,4894.0,3428.0,2528.0,1414.0,865.0,770.0,1146.0,1212.0,905.0,1341.0,1130.0
jose c. paz,0398A,68953.0,73084.0,75172.0,55684.0,54558.0,58686.0,8049.0,9085.0,12622.0,29371.0,28441.0,32872.0,11031.0,7135.0,5223.0,6132.0,3981.0,2587.0,2358.0,2549.0,1783.0,2583.0,1823.0
jose c. paz,0398B,57620.0,57876.0,60317.0,46674.0,42588.0,47310.0,9549.0,10444.0,14124.0,20396.0,17977.0,21619.0,10165.0,6605.0,4804.0,4553.0,2377.0,1876.0,2069.0,2093.0,1939.0,2779.0,2224.0
la costa,0337A,5815.0,6281.0,6281.0,4094.0,3807.0,3946.0,1109.0,1192.0,1490.0,1069.0,982.0,1097.0,574.0,371.0,302.0,251.0,198.0,190.0,84.0,94.0,111.0,160.0,162.0
la costa,0337B,13772.0,15919.0,16265.0,11023.0,10592.0,11608.0,3958.0,4140.0,4921.0,3397.0,2890.0,3361.0,1796.0,1239.0,945.0,905.0,599.0,651.0,339.0,421.0,306.0,479.0,573.0
la costa,0337C,7202.0,8289.0,8289.0,5633.0,5469.0,6080.0,2136.0,2295.0,2758.0,1801.0,1627.0,1949.0,818.0,695.0,534.0,465.0,335.0,341.0,156.0,195.0,192.0,276.0,267.0
la costa,0337D,9227.0,9511.0,9861.0,6731.0,6589.0,7294.0,2835.0,2809.0,3564.0,2215.0,1861.0,2072.0,1277.0,839.0,696.0,468.0,277.0,248.0,311.0,319.0,176.0,309.0,253.0
la costa,0337E,17717.0,17374.0,17370.0,13523.0,11435.0,12621.0,4595.0,4635.0,6010.0,4248.0,3594.0,4194.0,2124.0,1666.0,1230.0,1079.0,746.0,596.0,483.0,524.0,307.0,459.0,427.0
la matanza,0626A,38873.0,36488.0,38942.0,32095.0,28548.0,31508.0,8654.0,8941.0,11417.0,11753.0,10466.0,12137.0,7343.0,4290.0,3424.0,1692.0,940.0,488.0,1636.0,1599.0,1390.0,2125.0,1752.0
la matanza,0629A,57821.0,60381.0,61788.0,43277.0,42444.0,46007.0,7133.0,8161.0,10530.0,20300.0,20071.0,22345.0,8202.0,5247.0,3974.0,2722.0,1607.0,1156.0,2565.0,2435.0,1635.0,2417.0,1939.0
la matanza,0629B,34614.0,36965.0,37316.0,28886.0,28808.0,30668.0,4687.0,5020.0,6697.0,15436.0,15023.0,16931.0,5475.0,3629.0,2628.0,2214.0,1429.0,877.0,1692.0,1620.0,1137.0,1634.0,1308.0
la matanza,0631A,38425.0,44223.0,47031.0,30985.0,30421.0,34268.0,6228.0,6454.0,8666.0,15485.0,14238.0,16864.0,5915.0,3567.0,2721.0,2152.0,1262.0,830.0,1532.0,1638.0,948.0,1539.0,1193.0
la matanza,0631B,7784.0,4730.0,8234.0,6210.0,3779.0,6765.0,2759.0,1713.0,3475.0,1765.0,994.0,1880.0,1136.0,453.0,596.0,249.0,94.0,93.0,208.0,286.0,137.0,405.0,316.0
la matanza,0631C,16654.0,15969.0,16868.0,14009.0,11897.0,14086.0,2666.0,2812.0,3690.0,6720.0,6009.0,7110.0,3082.0,1689.0,1368.0,919.0,595.0,336.0,796.0,781.0,505.0,741.0,642.0
la matanza,0631D,34061.0,35185.0,36937.0,28089.0,27725.0,29457.0,5630.0,6377.0,8293.0,12719.0,12359.0,14508.0,5851.0,3674.0,2941.0,1999.0,1171.0,694.0,1446.0,1483.0,1062.0,1615.0,1227.0
la matanza,0632A,21818.0,15706.0,17213.0,11090.0,9012.0,10783.0,2590.0,2637.0,3501.0,3628.0,3209.0,3860.0,2221.0,1293.0,1062.0,599.0,303.0,231.0,490.0,496.0,396.0,642.0,485.0
la matanza,0632B,3134.0,3299.0,3299.0,2117.0,2785.0,2802.0,812.0,1029.0,1208.0,705.0,869.0,910.0,555.0,460.0,297.0,133.0,60.0,46.0,119.0,122.0,129.0,204.0,132.0
la matanza,0635A,85205.0,101574.0,104593.0,68580.0,71747.0,75685.0,10280.0,11043.0,14856.0,39095.0,37482.0,42574.0,12048.0,7650.0,5439.0,5974.0,3039.0,1887.0,3757.0,3695.0,2240.0,3318.0,2661.0
la matanza,0635B,107608.0,98445.0,103042.0,83050.0,78758.0,84504.0,13063.0,13430.0,18178.0,43154.0,41822.0,47768.0,14786.0,9124.0,7049.0,6036.0,3174.0,2198.0,4141.0,4455.0,3124.0,4441.0,3511.0
la matanza,0635C,42713.0,49622.0,51734.0,34927.0,39393.0,40621.0,4574.0,5362.0,7578.0,20992.0,23259.0,26296.0,5842.0,3940.0,2989.0,3063.0,2070.0,1176.0,2128.0,2062.0,1228.0,1844.0,1330.0
la matanza,0635D,31884.0,43392.0,44796.0,23363.0,28679.0,31664.0,2540.0,3674.0,5159.0,12805.0,15840.0,18250.0,3529.0,2844.0,2162.0,1988.0,1478.0,1014.0,1611.0,1619.0,808.0,1194.0,718.0
la matanza,0635E,36735.0,41886.0,41186.0,30797.0,31532.0,32697.0,3164.0,3774.0,5160.0,18892.0,19538.0,21139.0,4963.0,3454.0,2493.0,2857.0,1716.0,1129.0,1829.0,1660.0,860.0,1258.0,922.0
la plata,0496A,10030.0,10990.0,11341.0,7845.0,7043.0,8727.0,1831.0,2012.0,2775.0,3521.0,2904.0,3644.0,1564.0,1038.0,862.0,745.0,579.0,418.0,573.0,563.0,348.0,413.0,335.0
la plata,0496B,9315.0,10399.0,10399.0,7446.0,6257.0,7302.0,2353.0,2464.0,3029.0,2638.0,2264.0,2723.0,1398.0,1073.0,810.0,682.0,445.0,365.0,601.0,507.0,313.0,439.0,378.0
la plata,0496C,11503.0,12304.0,12653.0,8711.0,8236.0,9942.0,2971.0,3179.0,4126.0,3030.0,2732.0,3191.0,1760.0,1256.0,959.0,747.0,418.0,367.0,594.0,596.0,385.0,590.0,476.0
la plata,0496D,14359.0,14858.0,17224.0,11957.0,10039.0,12674.0,3709.0,3647.0,5347.0,3735.0,3006.0,3934.0,2316.0,1424.0,1195.0,1065.0,529.0,557.0,897.0,822.0,468.0,714.0,660.0
la plata,0497A,350.0,497.0,495.0,252.0,275.0,330.0,77.0,97.0,132.0,60.0,56.0,93.0,75.0,54.0,42.0,24.0,18.0,27.0,11.0,21.0,9.0,12.0,9.0
la plata,0497B,8262.0,8720.0,7670.0,6539.0,6333.0,6025.0,2379.0,2346.0,2686.0,1952.0,1590.0,1752.0,1330.0,848.0,638.0,547.0,287.0,216.0,403.0,336.0,279.0,343.0,348.0
la plata,0497C,8663.0,10299.0,10298.0,6903.0,7188.0,7061.0,1942.0,2091.0,2561.0,2324.0,2035.0,2309.0,1387.0,1017.0,785.0,669.0,353.0,331.0,453.0,400.0,309.0,414.0,316.0
la plata,0497D,10029.0,9399.0,9747.0,8145.0,6804.0,7791.0,2783.0,2783.0,3605.0,2055.0,1677.0,2141.0,1650.0,978.0,778.0,631.0,330.0,302.0,459.0,450.0,366.0,427.0,410.0
la plata,0497E,9488.0,11503.0,11849.0,7407.0,7601.0,7892.0,2417.0,2308.0,3253.0,2406.0,1994.0,2503.0,1569.0,1038.0,832.0,679.0,315.0,386.0,485.0,451.0,298.0,386.0,373.0
la plata,0497F,5652.0,2100.0,3004.0,2966.0,1203.0,1929.0,554.0,456.0,883.0,549.0,377.0,613.0,471.0,197.0,247.0,224.0,114.0,175.0,110.0,152.0,63.0,117.0,94.0
la plata,0503A,6244.0,8773.0,9532.0,4934.0,5472.0,6692.0,1629.0,1819.0,2477.0,1681.0,1346.0,1742.0,946.0,806.0,587.0,432.0,220.0,194.0,423.0,372.0,277.0,361.0,304.0
la plata,0504A,25218.0,25715.0,27109.0,20364.0,18027.0,20925.0,8750.0,8934.0,10979.0,4774.0,3974.0,4803.0,2326.0,1854.0,1418.0,895.0,540.0,511.0,1331.0,1222.0,862.0,1381.0,1414.0
la plata,0505A,7280.0,9171.0,9170.0,6220.0,6060.0,7125.0,1587.0,1952.0,2581.0,2553.0,2344.0,2603.0,959.0,787.0,598.0,372.0,290.0,270.0,522.0,443.0,265.0,359.0,288.0
la plata,0505B,2328.0,3756.0,3754.0,1641.0,1947.0,2308.0,385.0,399.0,538.0,849.0,641.0,817.0,402.0,297.0,240.0,195.0,83.0,80.0,166.0,173.0,118.0,113.0,51.0
la plata,0508A,11964.0,8483.0,13033.0,9487.0,6021.0,10173.0,3249.0,2480.0,4808.0,2399.0,1362.0,2549.0,1777.0,815.0,980.0,635.0,333.0,322.0,373.0,545.0,265.0,565.0,504.0
la plata,0508B,5987.0,6856.0,6153.0,5089.0,4954.0,4588.0,1062.0,1154.0,1470.0,2251.0,1945.0,2049.0,959.0,651.0,472.0,473.0,294.0,218.0,441.0,356.0,166.0,227.0,228.0
la plata,0508C,6947.0,7197.0,7546.0,4951.0,5198.0,5852.0,1534.0,1504.0,2087.0,2254.0,1779.0,2170.0,1068.0,747.0,571.0,554.0,299.0,256.0,392.0,360.0,237.0,319.0,239.0
la plata,0508D,7786.0,10609.0,10422.0,5714.0,7103.0,6136.0,1631.0,1919.0,2537.0,2255.0,1973.0,2275.0,1275.0,872.0,640.0,564.0,412.0,283.0,507.0,500.0,236.0,279.0,191.0
la plata,0508E,5932.0,8034.0,8029.0,4776.0,5686.0,5628.0,1615.0,1706.0,2211.0,1581.0,1336.0,1580.0,1090.0,759.0,547.0,423.0,169.0,189.0,362.0,304.0,223.0,290.0,241.0
la plata,0509A,6643.0,9134.0,9135.0,5555.0,6441.0,6456.0,2034.0,2363.0,2964.0,1559.0,1426.0,1588.0,1149.0,918.0,653.0,380.0,236.0,278.0,427.0,411.0,263.0,315.0,220.0
lincoln,0567A,473.0,462.0,462.0,304.0,347.0,366.0,217.0,192.0,252.0,91.0,62.0,66.0,51.0,32.0,20.0,31.0,30.0,9.0,6.0,9.0,7.0,8.0,9.0
lobos,0576A,89.0,92.0,91.0,76.0,64.0,72.0,44.0,43.0,56.0,15.0,7.0,11.0,7.0,3.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,1.0,0.0
lomas de zamora,0590A,46589.0,43583.0,44633.0,34543.0,32447.0,34569.0,8161.0,8566.0,10920.0,14752.0,13396.0,15371.0,6942.0,4885.0,3511.0,2538.0,1355.0,831.0,1793.0,1904.0,1487.0,2157.0,1750.0
lomas de zamora,0593A,11342.0,11538.0,11538.0,9205.0,8542.0,9507.0,3358.0,3659.0,4341.0,2711.0,2532.0,2824.0,1851.0,1423.0,1037.0,529.0,272.0,141.0,436.0,431.0,496.0,676.0,556.0
malvinas argentinas,0399A,32605.0,27886.0,35958.0,27560.0,21173.0,29068.0,3930.0,5150.0,7980.0,10747.0,8929.0,13498.0,8398.0,3354.0,3186.0,2495.0,1165.0,1178.0,767.0,1012.0,886.0,1556.0,992.0
malvinas argentinas,0399B,26141.0,28737.0,29079.0,20915.0,21016.0,22584.0,4254.0,5424.0,6873.0,7748.0,7978.0,9532.0,5603.0,3447.0,2629.0,1813.0,1038.0,713.0,930.0,788.0,1017.0,1397.0,898.0
malvinas argentinas,0399C,1514.0,1699.0,1697.0,1303.0,1334.0,1385.0,163.0,254.0,337.0,546.0,572.0,638.0,335.0,284.0,217.0,125.0,63.0,50.0,54.0,68.0,50.0,66.0,45.0
malvinas argentinas,0399D,26557.0,29000.0,30042.0,22138.0,21498.0,23854.0,4107.0,6338.0,7786.0,8036.0,8592.0,9885.0,7046.0,3549.0,2803.0,1640.0,900.0,844.0,899.0,867.0,1086.0,1502.0,1050.0
malvinas argentinas,0399E,20358.0,19047.0,20442.0,16200.0,14782.0,15948.0,2754.0,3695.0,4971.0,6046.0,5680.0,6905.0,5091.0,2607.0,2191.0,1366.0,931.0,559.0,724.0,694.0,762.0,1112.0,816.0
malvinas argentinas,0399F,51537.0,51382.0,53827.0,43537.0,39645.0,43577.0,9386.0,13848.0,17031.0,13676.0,13373.0,15817.0,14445.0,6314.0,4825.0,3322.0,1690.0,1461.0,1484.0,1534.0,1791.0,2739.0,1961.0
malvinas argentinas,0399G,18297.0,18003.0,20454.0,14572.0,13122.0,16609.0,1705.0,2298.0,3538.0,7476.0,7195.0,9388.0,4148.0,2137.0,1748.0,1508.0,951.0,779.0,609.0,579.0,570.0,796.0,522.0
mar chiquita,0621A,32.0,28.0,28.0,11.0,10.0,17.0,11.0,7.0,14.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mar chiquita,0622A,8273.0,9170.0,9169.0,6480.0,6437.0,6562.0,1956.0,2232.0,2798.0,2332.0,2122.0,2390.0,1076.0,1087.0,700.0,354.0,229.0,227.0,320.0,303.0,195.0,358.0,219.0
mar chiquita,0622B,1490.0,1737.0,1737.0,1218.0,1262.0,1331.0,489.0,512.0,682.0,390.0,327.0,361.0,182.0,183.0,120.0,62.0,49.0,46.0,87.0,60.0,35.0,59.0,43.0
marcos paz,0624A,389.0,402.0,400.0,249.0,237.0,238.0,43.0,49.0,81.0,92.0,87.0,95.0,68.0,44.0,27.0,32.0,14.0,8.0,21.0,17.0,7.0,10.0,5.0
merlo,0652A,124717.0,133454.0,139025.0,99983.0,97533.0,106765.0,16500.0,18555.0,26215.0,48031.0,47615.0,54533.0,22831.0,15267.0,11849.0,8624.0,4826.0,3203.0,5266.0,5662.0,3651.0,5980.0,3988.0
merlo,0655A,46686.0,49363.0,54370.0,36553.0,34322.0,38739.0,5333.0,5884.0,8754.0,18062.0,17827.0,20953.0,7645.0,4888.0,3916.0,3505.0,1661.0,1386.0,1583.0,1965.0,1210.0,1938.0,1214.0
moreno,0663A,47328.0,50140.0,50816.0,37551.0,36437.0,39656.0,9387.0,10465.0,13664.0,13678.0,13104.0,14775.0,8875.0,5769.0,4535.0,2594.0,1545.0,1063.0,2618.0,2298.0,1625.0,2453.0,1780.0
moreno,0663B,50823.0,51848.0,53572.0,41480.0,37386.0,42568.0,7000.0,7865.0,11214.0,18749.0,16977.0,19943.0,9588.0,6302.0,5134.0,4415.0,2726.0,1964.0,3152.0,2863.0,1172.0,2157.0,1380.0
moreno,0663C,76022.0,79422.0,83961.0,59357.0,55070.0,63884.0,8561.0,10331.0,15742.0,28845.0,25046.0,30870.0,14067.0,9072.0,7521.0,6458.0,4196.0,3065.0,4359.0,3913.0,1941.0,3267.0,2231.0
moreno,0663D,28828.0,31377.0,32429.0,21624.0,21862.0,22143.0,2536.0,2825.0,4339.0,11854.0,10072.0,12047.0,4491.0,2909.0,2395.0,2295.0,1293.0,1357.0,2099.0,1596.0,511.0,866.0,604.0
moreno,0664A,24127.0,27390.0,28094.0,19451.0,19979.0,21643.0,3622.0,4465.0,6230.0,8178.0,8149.0,9483.0,4600.0,3194.0,2511.0,1795.0,1261.0,916.0,1511.0,1374.0,643.0,1120.0,681.0
moreno,0664B,24783.0,19883.0,28288.0,19844.0,14745.0,22625.0,3510.0,2782.0,5668.0,9041.0,6220.0,10222.0,4936.0,2340.0,2780.0,2085.0,1056.0,1085.0,1147.0,1462.0,510.0,1209.0,739.0
necochea,0686A,14243.0,14703.0,14700.0,10916.0,9845.0,10156.0,3798.0,3747.0,4792.0,3034.0,2761.0,2944.0,2312.0,1750.0,1643.0,1121.0,583.0,688.0,450.0,405.0,200.0,296.0,249.0
necochea,0691A,19.0,15.0,13.0,3.0,0.0,6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
nueve de julio,0701A,20.0,22.0,22.0,16.0,14.0,15.0,11.0,11.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
nueve de julio,0705A,383.0,383.0,383.0,339.0,304.0,324.0,119.0,134.0,169.0,116.0,69.0,75.0,51.0,44.0,44.0,39.0,9.0,5.0,23.0,14.0,8.0,13.0,4.0
olavarria,0711A,7628.0,7660.0,7652.0,6169.0,5287.0,5920.0,2492.0,2541.0,3117.0,1332.0,1202.0,1269.0,1212.0,1120.0,787.0,660.0,298.0,160.0,240.0,254.0,151.0,224.0,241.0
olavarria,0711B,9055.0,8760.0,9068.0,7052.0,6643.0,6690.0,2462.0,2260.0,3094.0,1902.0,1727.0,1878.0,1493.0,1278.0,1104.0,1026.0,447.0,236.0,267.0,321.0,180.0,262.0,253.0
olavarria,0711C,13412.0,13621.0,14305.0,10731.0,10126.0,11082.0,3337.0,3313.0,4699.0,2984.0,2927.0,3123.0,2404.0,2121.0,1725.0,1570.0,708.0,471.0,478.0,486.0,296.0,466.0,435.0
olavarria,0711D,18453.0,18186.0,19223.0,15041.0,13613.0,15245.0,4710.0,4583.0,6423.0,4190.0,3865.0,4286.0,3431.0,2965.0,2413.0,1953.0,805.0,585.0,701.0,750.0,488.0,633.0,625.0
olavarria,0711E,15128.0,15066.0,15668.0,12143.0,10790.0,12215.0,3579.0,3527.0,5057.0,3488.0,3284.0,3578.0,2849.0,2410.0,1783.0,1668.0,836.0,453.0,531.0,623.0,351.0,521.0,481.0
olavarria,0718A,40.0,42.0,40.0,31.0,31.0,34.0,5.0,10.0,14.0,7.0,10.0,15.0,12.0,4.0,3.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0
olavarria,0719A,45.0,39.0,37.0,34.0,25.0,0.0,11.0,10.0,11.0,4.0,7.0,4.0,12.0,7.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0
olavarria,0723A,133.0,120.0,118.0,78.0,52.0,63.0,36.0,23.0,33.0,15.0,8.0,9.0,16.0,7.0,15.0,8.0,5.0,4.0,3.0,1.0,0.0,1.0,0.0
patagones,0731A,536.0,593.0,593.0,419.0,377.0,173.0,204.0,209.0,266.0,126.0,110.0,107.0,54.0,39.0,22.0,22.0,2.0,6.0,2.0,4.0,2.0,7.0,2.0
pehuajo,0734A,141.0,136.0,136.0,0.0,104.0,108.0,35.0,39.0,57.0,52.0,36.0,36.0,12.0,19.0,7.0,8.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0
pehuajo,0738A,28.0,27.0,27.0,21.0,16.0,19.0,6.0,5.0,7.0,7.0,3.0,6.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
pergamino,0747A,257.0,295.0,294.0,221.0,228.0,235.0,102.0,112.0,147.0,57.0,37.0,40.0,27.0,24.0,23.0,30.0,14.0,6.0,19.0,12.0,6.0,7.0,3.0
pergamino,0748A,17157.0,14325.0,16776.0,13777.0,10295.0,12880.0,5553.0,4768.0,6750.0,3749.0,2492.0,3146.0,2506.0,1272.0,1344.0,1403.0,596.0,360.0,685.0,595.0,245.0,415.0,370.0
pergamino,0748B,14331.0,14935.0,15624.0,10690.0,10098.0,11728.0,4659.0,4941.0,6348.0,3296.0,2574.0,3036.0,1905.0,1337.0,1207.0,1181.0,678.0,437.0,771.0,579.0,291.0,475.0,371.0
pergamino,0748C,14218.0,14675.0,15017.0,10612.0,9971.0,11400.0,3967.0,4209.0,5454.0,3764.0,3044.0,3374.0,2048.0,1262.0,1126.0,1373.0,804.0,439.0,728.0,537.0,240.0,389.0,293.0
pergamino,0748D,13868.0,12935.0,15380.0,10327.0,9955.0,11795.0,4522.0,4341.0,6399.0,3044.0,2224.0,2798.0,2088.0,1193.0,1301.0,1015.0,576.0,375.0,685.0,611.0,230.0,441.0,436.0
pergamino,0753A,35.0,28.0,26.0,21.0,12.0,14.0,9.0,2.0,8.0,7.0,5.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pergamino,0754A,925.0,701.0,942.0,773.0,533.0,752.0,372.0,321.0,461.0,197.0,79.0,114.0,94.0,51.0,76.0,74.0,35.0,45.0,30.0,34.0,6.0,17.0,16.0
pilar,0770A,9208.0,10815.0,10815.0,7698.0,7916.0,8216.0,3635.0,3853.0,4565.0,2105.0,2246.0,2375.0,937.0,885.0,660.0,505.0,339.0,265.0,356.0,282.0,172.0,277.0,204.0
pinamar,0339A,0.0,10460.0,10810.0,0.0,5967.0,7033.0,0.0,1614.0,2263.0,0.0,1669.0,1808.0,0.0,864.0,711.0,0.0,313.0,456.0,371.0,368.0,116.0,211.0,0.0
pinamar,0339B,0.0,3923.0,3515.0,0.0,2316.0,2560.0,0.0,1085.0,1353.0,0.0,523.0,583.0,0.0,333.0,236.0,0.0,84.0,128.0,147.0,115.0,60.0,109.0,0.0
pinamar,0339C,0.0,517.0,517.0,0.0,320.0,376.0,0.0,219.0,278.0,0.0,46.0,48.0,0.0,25.0,17.0,0.0,9.0,7.0,8.0,13.0,3.0,11.0,0.0
presidente peron,0304A,24143.0,29510.0,31054.0,20412.0,20676.0,23094.0,3184.0,3591.0,5054.0,8425.0,7257.0,9025.0,5389.0,4094.0,3553.0,2517.0,1850.0,1326.0,1300.0,1310.0,762.0,1093.0,814.0
presidente peron,0304B,11511.0,11546.0,12946.0,9800.0,8229.0,10137.0,1707.0,1769.0,2758.0,3905.0,3229.0,4355.0,2483.0,1612.0,1577.0,1170.0,726.0,713.0,687.0,730.0,275.0,482.0,315.0
presidente peron,0304C,2980.0,3495.0,3496.0,2613.0,2862.0,2945.0,300.0,348.0,476.0,1335.0,1393.0,1664.0,560.0,437.0,329.0,293.0,255.0,167.0,148.0,143.0,105.0,138.0,79.0
quilmes,0783A,11610.0,13110.0,13811.0,9223.0,8623.0,10077.0,2087.0,1949.0,2874.0,4148.0,4188.0,5034.0,1461.0,1218.0,902.0,1204.0,818.0,545.0,561.0,486.0,241.0,439.0,302.0
quilmes,0785A,19400.0,21065.0,21417.0,15884.0,16348.0,16750.0,6181.0,6357.0,7954.0,4649.0,4747.0,5406.0,2991.0,2350.0,1630.0,948.0,457.0,355.0,836.0,713.0,735.0,1097.0,772.0
quilmes,0785B,40557.0,44124.0,44674.0,32034.0,31048.0,33395.0,10726.0,11135.0,14129.0,11371.0,10922.0,12477.0,6310.0,4417.0,3151.0,2031.0,1119.0,712.0,1846.0,1512.0,1314.0,1968.0,1581.0
quilmes,0786A,14227.0,14199.0,15439.0,11034.0,10404.0,12236.0,3461.0,3510.0,4639.0,4149.0,4015.0,4963.0,2211.0,1640.0,1280.0,772.0,428.0,236.0,596.0,554.0,418.0,682.0,518.0
quilmes,0787A,34191.0,29254.0,30053.0,22024.0,19524.0,21214.0,10033.0,9609.0,11139.0,4841.0,4198.0,4871.0,3030.0,2416.0,1702.0,749.0,468.0,280.0,830.0,752.0,913.0,1421.0,1114.0
quilmes,0788A,48527.0,51379.0,53484.0,37599.0,36674.0,39751.0,7754.0,8136.0,11443.0,17200.0,16499.0,20067.0,6923.0,4731.0,3402.0,3570.0,2166.0,1382.0,2505.0,2317.0,1455.0,2201.0,1524.0
quilmes,0788B,24998.0,28103.0,28806.0,19057.0,19631.0,22081.0,5124.0,5166.0,7027.0,8722.0,8211.0,9866.0,4088.0,2800.0,2054.0,1896.0,1028.0,729.0,1434.0,1157.0,792.0,1167.0,864.0
quilmes,0788C,27434.0,30290.0,32041.0,23119.0,22465.0,23418.0,3417.0,3294.0,5187.0,12859.0,11977.0,14483.0,3844.0,2462.0,1953.0,2394.0,1619.0,1024.0,1473.0,1251.0,762.0,1068.0,781.0
quilmes,0791A,23318.0,28428.0,28782.0,18512.0,19419.0,20931.0,4869.0,5255.0,6926.0,7854.0,8072.0,9331.0,3833.0,3056.0,2231.0,1778.0,1042.0,594.0,1391.0,1134.0,808.0,1242.0,842.0
quilmes,0791B,26390.0,30273.0,31323.0,21094.0,19796.0,22222.0,6690.0,6562.0,8592.0,7641.0,6704.0,8148.0,4343.0,2790.0,2011.0,1642.0,868.0,512.0,1203.0,1130.0,804.0,1195.0,960.0
saladillo,0849A,533.0,512.0,511.0,415.0,387.0,399.0,205.0,192.0,235.0,51.0,52.0,62.0,81.0,84.0,60.0,58.0,20.0,13.0,11.0,11.0,7.0,11.0,6.0
salto,0855A,78.0,64.0,62.0,55.0,36.0,42.0,32.0,25.0,34.0,7.0,1.0,0.0,8.0,3.0,1.0,3.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0
salto,0857A,42.0,37.0,36.0,33.0,23.0,23.0,14.0,7.0,11.0,11.0,5.0,7.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0
salto,0857B,132.0,133.0,131.0,105.0,96.0,93.0,42.0,38.0,47.0,28.0,17.0,27.0,16.0,13.0,4.0,10.0,11.0,4.0,11.0,6.0,3.0,5.0,3.0
