,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,area_1,,,,,,,,,,,,,,,,,,,,,,,
Resto 4a Seccion,rivadavia,13233.0,13976.0,13976.0,10426.0,10543.0,11121.0,5567.0,4480.0,5596.0,1141.0,1614.0,1714.0,2869.0,2657.0,2313.0,1302.0,904.0,730.0,481.0,490.0,94.0,178.0,104.0
Resto 5a Seccion,castelli,7007.0,7559.0,7548.0,5916.0,5312.0,5909.0,2191.0,2300.0,2693.0,2308.0,667.0,723.0,527.0,458.0,270.0,692.0,373.0,650.0,1792.0,1634.0,58.0,101.0,59.0
Resto 5a Seccion,general belgrano,15449.0,15223.0,15906.0,12812.0,10851.0,12435.0,5269.0,5356.0,6654.0,4479.0,2020.0,2204.0,1529.0,1102.0,1061.0,1317.0,1006.0,776.0,1664.0,1351.0,197.0,271.0,231.0
Resto 5a Seccion,general guido,2457.0,2461.0,2452.0,1815.0,1919.0,2013.0,958.0,1116.0,1132.0,499.0,287.0,373.0,275.0,102.0,105.0,312.0,201.0,139.0,135.0,186.0,23.0,47.0,31.0
Resto 5a Seccion,general juan madariaga,16354.0,17352.0,17700.0,12733.0,12262.0,12311.0,4882.0,5159.0,6999.0,4122.0,2662.0,3225.0,2302.0,1559.0,1120.0,1323.0,682.0,560.0,1177.0,879.0,331.0,459.0,387.0
Resto 5a Seccion,general lavalle,3422.0,4098.0,4098.0,2888.0,2862.0,3232.0,1146.0,1287.0,1618.0,470.0,600.0,641.0,896.0,661.0,643.0,249.0,103.0,135.0,52.0,70.0,27.0,50.0,30.0
Resto 5a Seccion,general paz,9625.0,10227.0,10515.0,8501.0,8278.0,8908.0,3238.0,3044.0,4039.0,3162.0,2761.0,3058.0,1048.0,1238.0,1079.0,595.0,456.0,326.0,175.0,177.0,112.0,181.0,156.0
Resto 5a Seccion,loberia,14239.0,14195.0,14334.0,11547.0,10730.0,11322.0,5506.0,4798.0,5764.0,3669.0,2836.0,3129.0,1108.0,1493.0,1156.0,1101.0,618.0,450.0,421.0,345.0,287.0,336.0,178.0
Resto 5a Seccion,maipu,9500.0,9887.0,9871.0,7031.0,7172.0,7981.0,3868.0,3347.0,3984.0,1795.0,1552.0,1693.0,1009.0,1668.0,1516.0,897.0,454.0,463.0,108.0,113.0,84.0,179.0,162.0
Resto 5a Seccion,monte,17951.0,18670.0,18646.0,13799.0,13032.0,14142.0,4435.0,5870.0,6942.0,4157.0,3403.0,3734.0,3729.0,1995.0,1577.0,1254.0,789.0,671.0,1007.0,837.0,235.0,413.0,301.0
Resto 5a Seccion,pila,3011.0,3164.0,3152.0,2628.0,2464.0,2648.0,674.0,935.0,1218.0,946.0,830.0,951.0,599.0,366.0,202.0,340.0,173.0,160.0,42.0,46.0,21.0,35.0,22.0
Resto 5a Seccion,rauch,12274.0,13227.0,13547.0,10128.0,10044.0,10963.0,4310.0,4338.0,5774.0,3750.0,3376.0,3535.0,645.0,1005.0,756.0,1490.0,770.0,711.0,197.0,217.0,122.0,261.0,214.0
Resto 5a Seccion,san cayetano,7082.0,6499.0,7196.0,5749.0,4625.0,5397.0,2927.0,2481.0,3177.0,1360.0,823.0,936.0,593.0,993.0,967.0,718.0,289.0,422.0,47.0,71.0,33.0,63.0,61.0
Resto 5a Seccion,tordillo,1734.0,1521.0,1515.0,1541.0,1233.0,1320.0,334.0,397.0,566.0,572.0,397.0,417.0,433.0,260.0,199.0,177.0,115.0,93.0,11.0,17.0,6.0,9.0,7.0
Resto 6a Seccion,adolfo alsina,13189.0,13985.0,14314.0,10543.0,10253.0,11047.0,4957.0,5164.0,6049.0,2688.0,2111.0,2279.0,1156.0,1208.0,1135.0,1291.0,756.0,661.0,719.0,616.0,123.0,225.0,128.0
Resto 6a Seccion,adolfo gonzales chaves,10420.0,10473.0,10473.0,8846.0,7164.0,8109.0,2279.0,2427.0,3201.0,3347.0,2084.0,2512.0,1035.0,1136.0,856.0,1694.0,1448.0,1245.0,210.0,237.0,112.0,207.0,138.0
Resto 6a Seccion,benito juarez,16447.0,16959.0,16929.0,13212.0,11079.0,12973.0,4200.0,4196.0,5698.0,4755.0,4109.0,4188.0,2059.0,1377.0,1036.0,1633.0,1657.0,1590.0,210.0,243.0,237.0,386.0,328.0
Resto 6a Seccion,coronel de marina l. rosales,47359.0,48824.0,49880.0,35274.0,33929.0,36541.0,17364.0,17908.0,22644.0,6592.0,4754.0,5335.0,6433.0,5733.0,4255.0,3643.0,2865.0,2230.0,1393.0,1684.0,817.0,1219.0,1092.0
Resto 6a Seccion,coronel dorrego,13617.0,13765.0,13765.0,10962.0,9960.0,10522.0,4976.0,4657.0,5545.0,2900.0,2430.0,2565.0,985.0,1451.0,1114.0,1847.0,835.0,676.0,553.0,555.0,150.0,237.0,175.0
Resto 6a Seccion,coronel pringles,19687.0,20282.0,19583.0,14922.0,14609.0,14948.0,6200.0,6885.0,7748.0,4230.0,3899.0,3675.0,1706.0,1362.0,1187.0,2670.0,1439.0,1264.0,447.0,429.0,469.0,496.0,333.0
Resto 6a Seccion,daireaux,14225.0,14485.0,14471.0,11735.0,11034.0,11809.0,5298.0,4850.0,5854.0,4295.0,3216.0,3697.0,1001.0,1278.0,820.0,1460.0,905.0,880.0,332.0,303.0,90.0,146.0,105.0
Resto 6a Seccion,guamini,8839.0,9833.0,9825.0,7248.0,7501.0,7596.0,2933.0,3287.0,3726.0,2944.0,2135.0,2444.0,625.0,956.0,845.0,800.0,700.0,499.0,166.0,161.0,66.0,132.0,94.0
Resto 6a Seccion,laprida,9156.0,9376.0,9362.0,7603.0,6802.0,7557.0,2896.0,2698.0,3219.0,3110.0,2595.0,3079.0,501.0,558.0,550.0,644.0,374.0,322.0,186.0,151.0,250.0,165.0,130.0
Resto 6a Seccion,monte hermoso,7909.0,7807.0,7807.0,6089.0,5287.0,5738.0,1905.0,1806.0,2159.0,2333.0,798.0,812.0,875.0,287.0,226.0,565.0,306.0,215.0,2047.0,2023.0,90.0,141.0,144.0
Resto 6a Seccion,pellegrini,5149.0,5136.0,5134.0,4334.0,3594.0,3828.0,2066.0,1963.0,2389.0,764.0,487.0,524.0,810.0,738.0,678.0,590.0,312.0,270.0,173.0,128.0,24.0,60.0,32.0
