,PROVINCIA,departamen,POBLACION_
0,['BUENOS AIRES' 'CIUDAD DE BUENOS AIRES'],"['La Matanza' 'Tres de Febrero' 'Comuna 7' 'Comuna 1' 'Comuna 4'
 'Comuna 15' 'Comuna 13' 'Comuna 8' 'Comuna 3' 'Comuna 2' 'Vicente López'
 'Avellaneda' 'Comuna 6' 'Comuna 14' 'Comuna 12' 'Comuna 9' 'Comuna 5'
 'Almirante Brown' 'Comuna 10' 'General San Martín' 'Morón' 'San Isidro'
 'Quilmes' 'Florencio Varela' 'Lanús' 'Lomas de Zamora' 'Comuna 11'
 'Berazategui' 'San Fernando' 'Moreno' 'Tigre' 'Hurlingham' 'San Miguel'
 'Merlo' 'Escobar' 'Malvinas Argentinas' 'Esteban Echeverría' 'Pilar'
 'José C. Paz' 'Ituzaingó' 'Ezeiza' 'Presidente Perón' 'General Rodríguez'
 'Marcos Paz' 'Cañuelas' 'La Plata']",13543466
1,"['SAN JUAN' 'JUJUY' 'SALTA' 'TUCUMÁN' 'SANTA FE' 'RIO NEGRO' 'CHUBUT'
 'NEUQUÉN' 'CORRIENTES' 'MISIONES' 'BUENOS AIRES' 'ENTRE RÍOS' 'CHACO'
 'LA PAMPA' 'CORDOBA' 'CATAMARCA' 'SAN LUIS' 'MENDOZA' 'FORMOSA'
 'SANTIAGO DEL ESTERO' 'TIERRA DEL FUEGO' 'LA RIOJA' 'SANTA CRUZ'
 'CIUDAD DE BUENOS AIRES']","['9 de Julio' 'El Carmen' 'Orán' 'Monteros' 'Rosario' 'General Güemes'
 'Santa Bárbara' 'Cafayate' 'Cerrillos' 'General Obligado' 'Ledesma'
 'Palpalá' 'General Roca' 'San Pedro' 'Lules' 'Avellaneda' 'General López'
 'Metán' 'Yerba Buena' 'Rawson' 'Zapala' 'San Antonio'
 'Rosario de la Frontera' 'Anta' 'Bella Vista' 'Yavi' 'San Javier'
 'Guaraní' 'Chicoana' 'Rosario de Lerma' 'San Nicolás' 'Confluencia'
 'Federación' 'Chacabuco' 'Puelén' 'Juárez Celman' 'Humahuaca'
 'Chapaleufú' 'Santa María' 'Ischilín' 'Iguazú' 'San Justo' 'La Capital'
 'General José de San Martín' 'Añelo' 'Capital' 'Santo Tomé' 'Susques'
 'Colón' 'Chicligasta' 'Cruz Alta' 'Libertador General San Martín'
 'Burruyacú' 'Paraná' 'Sarmiento' 'Castellanos' 'La Paz' 'Río Chico'
 'San Martín' 'Famaillá' 'San Cristóbal' 'Río Primero'
 'General Manuel Belgrano' 'Belgrano' 'Pehuenches' 'Cochinoca'
 '25 de Mayo' 'Leales' 'Zárate' 'Conhelo' 'General Pedernera' 'Tafí Viejo'
 'San Carlos' 'Unión' 'Tumbaya' '12 de Octubre' 'Diamante' 'Utracán'
 'San Salvador' 'Tupungato' 'Pirané' 'Federal' ""O'Higgins"" 'San Jerónimo'
 'Huiliches' 'Totoral' 'Presidencia de la Plaza' 'Tercero Arriba'
 'Libertad' 'Río Segundo' 'San Lorenzo' 'Vera' 'Lavalle'
 'General Pueyrredón' 'Feliciano' 'San Luis del Palmar' 'Robles'
 'Marcos Juárez' 'Ojo de Agua' 'Carlos Casares' 'Simoca' 'Concepción'
 'Rinconada' 'Río Grande' 'Río Cuarto' 'Realicó' 'La Cocha' 'Belén'
 'Rojas' 'Almirante Brown' 'Independencia' 'Tilcara' 'Constitución'
 'Chos Malal' 'San Antonio de Areco' 'San Andrés de Giles' 'Cañuelas'
 'Moreno' 'Conesa' 'Oberá' 'Graneros' 'General Villegas' 'Itatí' 'Atreucó'
 'Patiño' 'Eldorado' 'Angaco' 'Sobremonte' '1º de Mayo' 'Monte Caseros'
 'Trancas' 'General Viamonte' 'Lincoln' 'Jáchal' 'Ituzaingó'
 'Rosario Vera Peñaloza' 'Iriondo' 'Las Colonias' 'Capitán Sarmiento'
 'La Candelaria' 'Escalante' 'Caseros' 'Luján' 'Rauch'
 'Exaltación de la Cruz' 'Laishi' 'Banda' 'Gualeguaychú'
 'Florentino Ameghino' 'Tala' 'Villarino' 'Matacos' 'Chical Co' 'Monte'
 'Toay' 'Ensenada' 'Curacó' 'General Taboada' 'General San Martín'
 'Mayor Luis J. Fontana' 'Ramallo' 'Florencio Varela' 'Candelaria' 'Copo'
 'Uruguay' 'Rancul' 'General Belgrano' 'Guatraché' 'Santa Catalina'
 'Olavarría' 'Cainguás' 'Rivadavia' 'Alberdi' 'Güer Aike' 'Roque Pérez'
 'Los Andes' 'Magdalena' 'Ayacucho' 'Montecarlo' 'Leandro N. Alem'
 'Luján de Cuyo' 'Gualeguay' 'Zonda' 'Coronel Felipe Varela' 'Sauce'
 'Islas del Ibicuy' 'Monte Hermoso' 'Catriló' 'Aluminé' 'Santa Rosa'
 'Navarro' 'Pellegrini' 'Mar Chiquita' 'Quemú Quemú' 'Daireaux'
 'Patagones' 'Campana' 'Loreto' 'Pilcomayo' 'Carlos Tejedor'
 'Bahía Blanca' 'San Cosme' 'Castelli' 'Maipú' 'Concordia'
 'Coronel Dorrego' 'General Donovan' 'Loncopué' 'Los Lagos' 'Río Hondo'
 '2 de Abril' 'Marcos Paz' 'Chascomús' 'Salliqueló' 'Río Seco' 'Junín'
 'Cruz del Eje' 'General Alvear' 'Calamuchita'
 'Presidente Roque Sáenz Peña' 'Coronel Pringles' 'Tres Lomas'
 'General Alvarado' 'Ezeiza' 'General La Madrid'
 'Fray Justo Santa María de Oro' 'Bermejo' 'San Ignacio' 'Suipacha'
 'General Las Heras' 'Chamical' 'Lobería' 'General Paz' 'Formosa'
 'Gobernador Dupuy' 'Benito Juárez' 'Juan B. Alberdi' 'Garay'
 'Hipólito Yrigoyen' 'Santa Victoria' 'Escobar' 'San Roque' 'Empedrado'
 'General Pinto' 'Collón Curá' 'Pilagás' 'Adolfo Gonzales Chaves'
 'Guaminí' 'Alberti' 'Bragado' 'Hucal' 'Lago Buenos Aires' 'Capayán'
 'Tornquist' 'Lácar' 'Laprida' 'Baradero' 'Apóstoles' 'San Cayetano'
 'San Miguel' 'La Costa' 'Comuna 13' 'Puán' 'Tapalqué' 'Loventué'
 'Juan F. Ibarra' 'Magallanes' 'Paclín' 'Adolfo Alsina' 'La Caldera'
 'Quebrachos' 'Punilla' 'General Arenales' 'Mburucuyá' 'Tulumba'
 'Ramón Lista' 'General Guido' 'San Rafael' 'Corpen Aike' 'Nogoyá'
 'Trenque Lauquen' 'Picún Leufú' 'Azul' 'Sargento Cabral' 'Minas'
 'Bolívar' 'Quitilipi' 'El Cuy' 'Jiménez' 'Futaleufú' 'Saladas'
 'Pergamino' 'Pichi Mahuida' 'Chivilcoy' 'Chalileo' 'Cachi' 'Cushamen'
 'Curuzú Cuatiá' 'Valcheta' 'Coronel Suárez' 'Brandsen' 'Tunuyán'
 'Necochea' 'Coronel de Marina Leonardo Rosales' 'Pocito' 'Aguirre'
 'Pocho' 'El Alto' 'Pila' 'Tordillo' 'Trenel' 'Las Heras' 'La Viña'
 'Tapenagá' 'Mercedes' 'Valle Fértil' 'Dr. Manuel Belgrano' 'San Fernando'
 'Berón de Astrada' 'Picunches' 'Pilcaniyeu' 'Atamisqui' 'Iruya'
 'Villaguay' 'Pehuajó' 'Molinos' 'Ñorquín' 'Choya' 'Figueroa' 'Andalgalá'
 'Salavina' 'Saavedra' 'Punta Indio' 'Catán Lil' 'General Ocampo'
 'Tres Arroyos' 'San Vicente' 'General Lavalle' '9 de julio' 'Ullum'
 'Calingasta' 'Valle Grande' 'Guasayán' 'Pomán' 'Gaiman' 'Tafí del Valle'
 'San Alberto' 'Bariloche' 'Esquina' 'Tandil' 'Tinogasta' 'Salto' 'Arauco'
 'Lobos' 'Tehuelches' 'Paso de los Libres' 'Maracó'
 'General Juan F. Quiroga' 'Arrecifes' 'Saladillo' 'Limay Mahuida'
 'Castro Barros' 'Ñorquinco' 'La Poma' 'Lago Argentino' 'Chilecito'
 'Caucete' 'Iglesia' 'Silípica' 'Ambato' 'Dolores' 'Pinamar' 'Guachipas'
 'Mitre' 'Balcarce' 'Deseado' 'General Angel V. Peñaloza' 'Victoria'
 'Villa Gesell' 'Sanagasta' 'General Lamadrid' 'Pilar'
 'San Blas de los Sauces']",6103115
2,['CORDOBA'],['Capital' 'Colón'],1428787
3,['SANTA FE'],['Rosario' 'San Lorenzo'],1235684
4,['MENDOZA'],"['Capital' 'Las Heras' 'Maipú' 'Godoy Cruz' 'Luján de Cuyo' 'Guaymallén'
 'San Martín' 'Junín']",1092919
5,['TUCUMÁN'],['Capital' 'Tafí Viejo' 'Cruz Alta' 'Yerba Buena' 'Lules'],849858
6,['BUENOS AIRES'],['La Plata' 'Ensenada' 'Berisso'],756698
7,['BUENOS AIRES'],['General Pueyrredón'],577010
8,['SALTA'],['Capital' 'Cerrillos' 'La Caldera'],522382
9,['SAN JUAN'],"['Chimbas' 'Capital' 'Rawson' 'Rivadavia' 'Santa Lucía' 'Pocito'
 'Albardón' 'Angaco']",469964
